time,longitude,latitude,rainfall_rate_mm_hr,rainfall_30min_mm
2026-08-27,78.15,30.75,0.38,0.19
2026-08-27,78.15,30.849998,0.14,0.07
2026-08-27,78.15,30.949999,0.17999999,0.089999996
2026-08-27,78.15,31.05,0.14,0.07
2026-08-27,78.15,31.15,0.14,0.07
2026-08-27,78.15,31.25,0.089999996,0.044999998
2026-08-27,78.15,31.349998,0.0,0.0
2026-08-27,78.15,31.449999,0.0,0.0
2026-08-27,78.25,28.55,0.0,0.0
2026-08-27,78.25,28.65,0.0,0.0
2026-08-27,78.25,28.75,0.0,0.0
2026-08-27,78.25,28.849998,0.099999994,0.049999997
2026-08-27,78.25,28.949999,0.17999999,0.089999996
2026-08-27,78.25,29.05,0.29,0.145
2026-08-27,78.25,29.15,1.24,0.62
2026-08-27,78.25,29.25,2.01,1.005
2026-08-27,78.25,29.349998,4.21,2.105
2026-08-27,78.25,29.449999,3.55,1.775
2026-08-27,78.25,29.55,3.33,1.665
2026-08-27,78.25,29.65,6.7,3.35
2026-08-27,78.25,29.75,8.48,4.24
2026-08-27,78.25,29.849998,6.45,3.225
2026-08-27,78.25,29.949999,2.69,1.345
2026-08-27,78.25,30.05,3.24,1.62
2026-08-27,78.25,30.15,2.52,1.26
2026-08-27,78.25,30.25,1.88,0.94
2026-08-27,78.25,30.349998,1.61,0.805
2026-08-27,78.25,30.449999,0.90999997,0.45499998
2026-08-27,78.25,30.55,0.82,0.41
2026-08-27,78.25,30.65,1.11,0.555
2026-08-27,78.25,30.75,0.58,0.29
2026-08-27,78.25,30.849998,0.16,0.08
2026-08-27,78.25,30.949999,0.03,0.015
2026-08-27,78.25,31.05,0.04,0.02
2026-08-27,78.25,31.15,0.06,0.03
2026-08-27,78.25,31.25,0.089999996,0.044999998
2026-08-27,78.25,31.349998,0.01,0.005
2026-08-27,78.25,31.449999,0.0,0.0
2026-08-27,78.35,28.55,0.0,0.0
2026-08-27,78.35,28.65,0.0,0.0
2026-08-27,78.35,28.75,0.11,0.055
2026-08-27,78.35,28.849998,0.42999998,0.21499999
2026-08-27,78.35,28.949999,0.74,0.37
2026-08-27,78.35,29.05,1.29,0.645
2026-08-27,78.35,29.15,5.2,2.6
2026-08-27,78.35,29.25,5.44,2.72
2026-08-27,78.35,29.349998,6.22,3.11
2026-08-27,78.35,29.449999,5.25,2.625
2026-08-27,78.35,29.55,4.7799997,2.3899999
2026-08-27,78.35,29.65,5.44,2.72
2026-08-27,78.35,29.75,7.58,3.79
2026-08-27,78.35,29.849998,4.62,2.31
2026-08-27,78.35,29.949999,2.8899999,1.4449999
2026-08-27,78.35,30.05,3.5,1.75
2026-08-27,78.35,30.15,3.3999999,1.6999999
2026-08-27,78.35,30.25,2.9199998,1.4599999
2026-08-27,78.35,30.349998,2.53,1.265
2026-08-27,78.35,30.449999,1.39,0.695
2026-08-27,78.35,30.55,0.81,0.405
2026-08-27,78.35,30.65,0.51,0.255
2026-08-27,78.35,30.75,0.41,0.205
2026-08-27,78.35,30.849998,0.17,0.085
2026-08-27,78.35,30.949999,0.049999997,0.024999999
2026-08-27,78.35,31.05,0.0,0.0
2026-08-27,78.35,31.15,0.0,0.0
2026-08-27,78.35,31.25,0.0,0.0
2026-08-27,78.35,31.349998,0.0,0.0
2026-08-27,78.35,31.449999,0.0,0.0
2026-08-27,78.45,28.55,0.03,0.015
2026-08-27,78.45,28.65,0.16,0.08
2026-08-27,78.45,28.75,0.68,0.34
2026-08-27,78.45,28.849998,1.93,0.965
2026-08-27,78.45,28.949999,2.1499999,1.0749999
2026-08-27,78.45,29.05,4.27,2.135
2026-08-27,78.45,29.15,6.27,3.135
2026-08-27,78.45,29.25,7.5899997,3.7949998
2026-08-27,78.45,29.349998,7.5899997,3.7949998
2026-08-27,78.45,29.449999,6.83,3.415
2026-08-27,78.45,29.55,5.19,2.595
2026-08-27,78.45,29.65,3.1999998,1.5999999
2026-08-27,78.45,29.75,4.12,2.06
2026-08-27,78.45,29.849998,2.85,1.425
2026-08-27,78.45,29.949999,2.01,1.005
2026-08-27,78.45,30.05,3.1599998,1.5799999
2026-08-27,78.45,30.15,2.97,1.485
2026-08-27,78.45,30.25,2.3999999,1.1999999
2026-08-27,78.45,30.349998,2.1299999,1.0649999
2026-08-27,78.45,30.449999,1.1999999,0.59999996
2026-08-27,78.45,30.55,0.55,0.275
2026-08-27,78.45,30.65,0.26999998,0.13499999
2026-08-27,78.45,30.75,0.099999994,0.049999997
2026-08-27,78.45,30.849998,0.089999996,0.044999998
2026-08-27,78.45,30.949999,0.04,0.02
2026-08-27,78.45,31.05,0.0,0.0
2026-08-27,78.45,31.15,0.0,0.0
2026-08-27,78.45,31.25,0.0,0.0
2026-08-27,78.45,31.349998,0.0,0.0
2026-08-27,78.45,31.449999,0.0,0.0
2026-08-27,78.549995,28.55,0.16,0.08
2026-08-27,78.549995,28.65,0.51,0.255
2026-08-27,78.549995,28.75,1.13,0.565
2026-08-27,78.549995,28.849998,2.9399998,1.4699999
2026-08-27,78.549995,28.949999,4.4,2.2
2026-08-27,78.549995,29.05,5.5899997,2.7949998
2026-08-27,78.549995,29.15,6.83,3.415
2026-08-27,78.549995,29.25,7.99,3.995
2026-08-27,78.549995,29.349998,8.38,4.19
2026-08-27,78.549995,29.449999,7.3599997,3.6799998
2026-08-27,78.549995,29.55,6.83,3.415
2026-08-27,78.549995,29.65,4.22,2.11
2026-08-27,78.549995,29.75,1.89,0.945
2026-08-27,78.549995,29.849998,1.1899999,0.59499997
2026-08-27,78.549995,29.949999,1.3299999,0.66499996
2026-08-27,78.549995,30.05,1.51,0.755
2026-08-27,78.549995,30.15,1.76,0.88
2026-08-27,78.549995,30.25,1.64,0.82
2026-08-27,78.549995,30.349998,1.43,0.715
2026-08-27,78.549995,30.449999,0.75,0.375
2026-08-27,78.549995,30.55,0.28,0.14
2026-08-27,78.549995,30.65,0.17999999,0.089999996
2026-08-27,78.549995,30.75,0.06,0.03
2026-08-27,78.549995,30.849998,0.0,0.0
2026-08-27,78.549995,30.949999,0.0,0.0
2026-08-27,78.549995,31.05,0.0,0.0
2026-08-27,78.549995,31.15,0.0,0.0
2026-08-27,78.549995,31.25,0.0,0.0
2026-08-27,78.549995,31.349998,0.0,0.0
2026-08-27,78.549995,31.449999,0.01,0.005
2026-08-27,78.65,28.55,0.34,0.17
2026-08-27,78.65,28.65,1.3199999,0.65999997
2026-08-27,78.65,28.75,3.46,1.73
2026-08-27,78.65,28.849998,4.92,2.46
2026-08-27,78.65,28.949999,5.8399997,2.9199998
2026-08-27,78.65,29.05,7.2799997,3.6399999
2026-08-27,78.65,29.15,7.98,3.99
2026-08-27,78.65,29.25,8.929999,4.4649997
2026-08-27,78.65,29.349998,10.78,5.39
2026-08-27,78.65,29.449999,7.94,3.97
2026-08-27,78.65,29.55,7.8999996,3.9499998
2026-08-27,78.65,29.65,6.87,3.435
2026-08-27,78.65,29.75,6.08,3.04
2026-08-27,78.65,29.849998,4.64,2.32
2026-08-27,78.65,29.949999,1.24,0.62
2026-08-27,78.65,30.05,0.89,0.445
2026-08-27,78.65,30.15,1.23,0.615
2026-08-27,78.65,30.25,1.14,0.57
2026-08-27,78.65,30.349998,0.95,0.475
2026-08-27,78.65,30.449999,0.58,0.29
2026-08-27,78.65,30.55,0.22999999,0.114999995
2026-08-27,78.65,30.65,0.089999996,0.044999998
2026-08-27,78.65,30.75,0.03,0.015
2026-08-27,78.65,30.849998,0.0,0.0
2026-08-27,78.65,30.949999,0.0,0.0
2026-08-27,78.65,31.05,0.0,0.0
2026-08-27,78.65,31.15,0.0,0.0
2026-08-27,78.65,31.25,0.0,0.0
2026-08-27,78.65,31.349998,0.0,0.0
2026-08-27,78.65,31.449999,0.0,0.0
2026-08-27,78.75,28.55,0.35,0.175
2026-08-27,78.75,28.65,2.05,1.025
2026-08-27,78.75,28.75,4.37,2.185
2026-08-27,78.75,28.849998,6.16,3.08
2026-08-27,78.75,28.949999,7.1499996,3.5749998
2026-08-27,78.75,29.05,7.5,3.75
2026-08-27,78.75,29.15,8.2,4.1
2026-08-27,78.75,29.25,14.82,7.41
2026-08-27,78.75,29.349998,11.96,5.98
2026-08-27,78.75,29.449999,10.76,5.38
2026-08-27,78.75,29.55,10.11,5.055
2026-08-27,78.75,29.65,9.55,4.775
2026-08-27,78.75,29.75,8.36,4.18
2026-08-27,78.75,29.849998,5.7999997,2.8999999
2026-08-27,78.75,29.949999,2.9299998,1.4649999
2026-08-27,78.75,30.05,1.1999999,0.59999996
2026-08-27,78.75,30.15,0.75,0.375
2026-08-27,78.75,30.25,0.78,0.39
2026-08-27,78.75,30.349998,0.66999996,0.33499998
2026-08-27,78.75,30.449999,0.35999998,0.17999999
2026-08-27,78.75,30.55,0.14,0.07
2026-08-27,78.75,30.65,0.049999997,0.024999999
2026-08-27,78.75,30.75,0.0,0.0
2026-08-27,78.75,30.849998,0.0,0.0
2026-08-27,78.75,30.949999,0.0,0.0
2026-08-27,78.75,31.05,0.0,0.0
2026-08-27,78.75,31.15,0.0,0.0
2026-08-27,78.75,31.25,0.0,0.0
2026-08-27,78.75,31.349998,0.0,0.0
2026-08-27,78.75,31.449999,0.0,0.0
2026-08-27,78.85,28.55,0.17999999,0.089999996
2026-08-27,78.85,28.65,1.7199999,0.85999995
2026-08-27,78.85,28.75,5.0099998,2.5049999
2026-08-27,78.85,28.849998,7.29,3.645
2026-08-27,78.85,28.949999,6.54,3.27
2026-08-27,78.85,29.05,6.06,3.03
2026-08-27,78.85,29.15,7.5899997,3.7949998
2026-08-27,78.85,29.25,8.78,4.39
2026-08-27,78.85,29.349998,14.53,7.265
2026-08-27,78.85,29.449999,10.01,5.005
2026-08-27,78.85,29.55,8.19,4.095
2026-08-27,78.85,29.65,7.6499996,3.8249998
2026-08-27,78.85,29.75,8.25,4.125
2026-08-27,78.85,29.849998,6.3999996,3.1999998
2026-08-27,78.85,29.949999,4.2599998,2.1299999
2026-08-27,78.85,30.05,1.06,0.53
2026-08-27,78.85,30.15,0.35999998,0.17999999
2026-08-27,78.85,30.25,0.39,0.195
2026-08-27,78.85,30.349998,0.32,0.16
2026-08-27,78.85,30.449999,0.19,0.095
2026-08-27,78.85,30.55,0.08,0.04
2026-08-27,78.85,30.65,0.01,0.005
2026-08-27,78.85,30.75,0.0,0.0
2026-08-27,78.85,30.849998,0.0,0.0
2026-08-27,78.85,30.949999,0.0,0.0
2026-08-27,78.85,31.05,0.0,0.0
2026-08-27,78.85,31.15,0.0,0.0
2026-08-27,78.85,31.25,0.0,0.0
2026-08-27,78.85,31.349998,0.0,0.0
2026-08-27,78.85,31.449999,0.0,0.0
2026-08-27,78.95,28.55,0.089999996,0.044999998
2026-08-27,78.95,28.65,0.74,0.37
2026-08-27,78.95,28.75,3.1799998,1.5899999
2026-08-27,78.95,28.849998,6.1,3.05
2026-08-27,78.95,28.949999,6.1099997,3.0549998
2026-08-27,78.95,29.05,6.18,3.09
2026-08-27,78.95,29.15,7.2799997,3.6399999
2026-08-27,78.95,29.25,8.09,4.045
2026-08-27,78.95,29.349998,8.33,4.165
2026-08-27,78.95,29.449999,7.9199996,3.9599998
2026-08-27,78.95,29.55,6.5499997,3.2749999
2026-08-27,78.95,29.65,6.6,3.3
2026-08-27,78.95,29.75,6.33,3.165
2026-08-27,78.95,29.849998,5.5499997,2.7749999
2026-08-27,78.95,29.949999,4.06,2.03
2026-08-27,78.95,30.05,1.11,0.555
2026-08-27,78.95,30.15,0.32999998,0.16499999
2026-08-27,78.95,30.25,0.11,0.055
2026-08-27,78.95,30.349998,0.07,0.035
2026-08-27,78.95,30.449999,0.06,0.03
2026-08-27,78.95,30.55,0.04,0.02
2026-08-27,78.95,30.65,0.0,0.0
2026-08-27,78.95,30.75,0.0,0.0
2026-08-27,78.95,30.849998,0.0,0.0
2026-08-27,78.95,30.949999,0.0,0.0
2026-08-27,78.95,31.05,0.0,0.0
2026-08-27,78.95,31.15,0.0,0.0
2026-08-27,78.95,31.25,0.0,0.0
2026-08-27,78.95,31.349998,0.0,0.0
2026-08-27,78.95,31.449999,0.0,0.0
2026-08-27,79.049995,28.55,0.049999997,0.024999999
2026-08-27,79.049995,28.65,0.21,0.105
2026-08-27,79.049995,28.75,1.35,0.675
2026-08-27,79.049995,28.849998,5.37,2.685
2026-08-27,79.049995,28.949999,6.52,3.26
2026-08-27,79.049995,29.05,7.64,3.82
2026-08-27,79.049995,29.15,7.81,3.905
2026-08-27,79.049995,29.25,7.41,3.705
2026-08-27,79.049995,29.349998,7.69,3.845
2026-08-27,79.049995,29.449999,6.8799996,3.4399998
2026-08-27,79.049995,29.55,4.6,2.3
2026-08-27,79.049995,29.65,4.52,2.26
2026-08-27,79.049995,29.75,3.81,1.905
2026-08-27,79.049995,29.849998,3.53,1.765
2026-08-27,79.049995,29.949999,2.75,1.375
2026-08-27,79.049995,30.05,0.82,0.41
2026-08-27,79.049995,30.15,0.24,0.12
2026-08-27,79.049995,30.25,0.04,0.02
2026-08-27,79.049995,30.349998,0.0,0.0
2026-08-27,79.049995,30.449999,0.0,0.0
2026-08-27,79.049995,30.55,0.0,0.0
2026-08-27,79.049995,30.65,0.0,0.0
2026-08-27,79.049995,30.75,0.0,0.0
2026-08-27,79.049995,30.849998,0.0,0.0
2026-08-27,79.049995,30.949999,0.0,0.0
2026-08-27,79.049995,31.05,0.0,0.0
2026-08-27,79.049995,31.15,0.0,0.0
2026-08-27,79.049995,31.25,0.0,0.0
2026-08-27,79.049995,31.349998,0.0,0.0
2026-08-27,79.049995,31.449999,0.0,0.0
2026-08-27,79.15,28.55,0.14,0.07
2026-08-27,79.15,28.65,0.12,0.06
2026-08-27,79.15,28.75,0.79999995,0.39999998
2026-08-27,79.15,28.849998,5.0,2.5
2026-08-27,79.15,28.949999,5.7799997,2.8899999
2026-08-27,79.15,29.05,7.02,3.51
2026-08-27,79.15,29.15,7.85,3.925
2026-08-27,79.15,29.25,6.85,3.425
2026-08-27,79.15,29.349998,6.6099997,3.3049998
2026-08-27,79.15,29.449999,5.29,2.645
2026-08-27,79.15,29.55,4.54,2.27
2026-08-27,79.15,29.65,3.28,1.64
2026-08-27,79.15,29.75,3.06,1.53
2026-08-27,79.15,29.849998,2.85,1.425
2026-08-27,79.15,29.949999,1.87,0.935
2026-08-27,79.15,30.05,0.59999996,0.29999998
2026-08-27,79.15,30.15,0.11,0.055
2026-08-27,79.15,30.25,0.0,0.0
2026-08-27,79.15,30.349998,0.0,0.0
2026-08-27,79.15,30.449999,0.0,0.0
2026-08-27,79.15,30.55,0.0,0.0
2026-08-27,79.15,30.65,0.0,0.0
2026-08-27,79.15,30.75,0.0,0.0
2026-08-27,79.15,30.849998,0.0,0.0
2026-08-27,79.15,30.949999,0.0,0.0
2026-08-27,79.15,31.05,0.0,0.0
2026-08-27,79.15,31.15,0.0,0.0
2026-08-27,79.15,31.25,0.0,0.0
2026-08-27,79.15,31.349998,0.0,0.0
2026-08-27,79.15,31.449999,0.01,0.005
2026-08-27,79.25,28.55,0.68,0.34
2026-08-27,79.25,28.65,0.35,0.175
2026-08-27,79.25,28.75,0.53999996,0.26999998
2026-08-27,79.25,28.849998,1.78,0.89
2026-08-27,79.25,28.949999,3.6599998,1.8299999
2026-08-27,79.25,29.05,4.71,2.355
2026-08-27,79.25,29.15,6.0,3.0
2026-08-27,79.25,29.25,5.74,2.87
2026-08-27,79.25,29.349998,5.65,2.825
2026-08-27,79.25,29.449999,4.8599997,2.4299998
2026-08-27,79.25,29.55,3.9099998,1.9549999
2026-08-27,79.25,29.65,3.24,1.62
2026-08-27,79.25,29.75,2.85,1.425
2026-08-27,79.25,29.849998,2.1499999,1.0749999
2026-08-27,79.25,29.949999,1.25,0.625
2026-08-27,79.25,30.05,0.12,0.06
2026-08-27,79.25,30.15,0.0,0.0
2026-08-27,79.25,30.25,0.0,0.0
2026-08-27,79.25,30.349998,0.01,0.005
2026-08-27,79.25,30.449999,0.01,0.005
2026-08-27,79.25,30.55,0.0,0.0
2026-08-27,79.25,30.65,0.0,0.0
2026-08-27,79.25,30.75,0.0,0.0
2026-08-27,79.25,30.849998,0.0,0.0
2026-08-27,79.25,30.949999,0.0,0.0
2026-08-27,79.25,31.05,0.0,0.0
2026-08-27,79.25,31.15,0.0,0.0
2026-08-27,79.25,31.25,0.0,0.0
2026-08-27,79.25,31.349998,0.0,0.0
2026-08-27,79.25,31.449999,0.0,0.0
2026-08-27,79.35,28.55,2.1299999,1.0649999
2026-08-27,79.35,28.65,1.29,0.645
2026-08-27,79.35,28.75,0.53,0.265
2026-08-27,79.35,28.849998,0.35,0.175
2026-08-27,79.35,28.949999,0.96,0.48
2026-08-27,79.35,29.05,1.8499999,0.92499995
2026-08-27,79.35,29.15,3.33,1.665
2026-08-27,79.35,29.25,4.49,2.245
2026-08-27,79.35,29.349998,4.5699997,2.2849998
2026-08-27,79.35,29.449999,4.13,2.065
2026-08-27,79.35,29.55,2.99,1.495
2026-08-27,79.35,29.65,2.76,1.38
2026-08-27,79.35,29.75,2.26,1.13
2026-08-27,79.35,29.849998,1.62,0.81
2026-08-27,79.35,29.949999,0.78,0.39
2026-08-27,79.35,30.05,0.049999997,0.024999999
2026-08-27,79.35,30.15,0.0,0.0
2026-08-27,79.35,30.25,0.0,0.0
2026-08-27,79.35,30.349998,0.07,0.035
2026-08-27,79.35,30.449999,0.01,0.005
2026-08-27,79.35,30.55,0.0,0.0
2026-08-27,79.35,30.65,0.0,0.0
2026-08-27,79.35,30.75,0.0,0.0
2026-08-27,79.35,30.849998,0.0,0.0
2026-08-27,79.35,30.949999,0.0,0.0
2026-08-27,79.35,31.05,0.0,0.0
2026-08-27,79.35,31.15,0.0,0.0
2026-08-27,79.35,31.25,0.0,0.0
2026-08-27,79.35,31.349998,0.0,0.0
2026-08-27,79.35,31.449999,0.0,0.0
2026-08-27,79.45,28.55,3.54,1.77
2026-08-27,79.45,28.65,3.54,1.77
2026-08-27,79.45,28.75,1.4599999,0.72999996
2026-08-27,79.45,28.849998,0.17,0.085
2026-08-27,79.45,28.949999,0.11,0.055
