event_id,event_date,timestamp,latitude,longitude,gpm_precipitation_rate_mm_hr,gpm_precipitation_mm,source_product,source_version,source_granule,source_timestamp,download_timestamp,coord_class,event_type,flash_flood_target_eligible,event_time_precision,rainfall_30min_mm,rainfall_1h_mm,rainfall_3h_mm,rainfall_6h_mm,rainfall_12h_mm,rainfall_24h_mm,rainfall_48h_mm,rainfall_72h_mm,max_rainfall_intensity,rainfall_accumulation,rainfall_trend,rainfall_surge_ratio,antecedent_precipitation_index
FL-UK-1998-01,1998-08-11,1998-08-11T00:00:00,30.44999885559082,78.94999694824219,0.3100000023841858,0.1550000011920929,GPM_3IMERGHH_07,V07B,3B-HHR.MS.MRG.3IMERG.19980811-S000000-E002959.0000.V07B.HDF5,1998-08-11T00:00:00,2026-09-14T18:31:54.934900+00:00,DERIVED,debris-flow/flood event,False,DATE_ONLY,0.1550000011920929,0.1550000011920929,0.1550000011920929,0.1550000011920929,0.1550000011920929,0.1550000011920929,,,0.3100000023841858,0.1550000011920929,,5.976863753390621,
FL-UK-1998-01,1998-08-11,1998-08-11T04:00:00,30.44999885559082,78.94999694824219,0.4899999797344208,0.2449999898672104,GPM_3IMERGHH_07,V07B,3B-HHR.MS.MRG.3IMERG.19980811-S040000-E042959.0240.V07B.HDF5,1998-08-11T04:00:00,2026-09-14T18:31:54.934900+00:00,DERIVED,debris-flow/flood event,False,DATE_ONLY,0.2449999898672104,0.3999999910593033,0.3999999910593033,0.3999999910593033,0.3999999910593033,0.3999999910593033,,,0.4899999797344208,0.3999999910593033,,5.991013479579765,
FL-UK-1998-01,1998-08-11,1998-08-11T08:00:00,30.44999885559082,78.94999694824219,0.4899999797344208,0.2449999898672104,GPM_3IMERGHH_07,V07B,3B-HHR.MS.MRG.3IMERG.19980811-S080000-E082959.0480.V07B.HDF5,1998-08-11T08:00:00,2026-09-14T18:31:54.934900+00:00,DERIVED,debris-flow/flood event,False,DATE_ONLY,0.2449999898672104,0.4899999797344208,0.6449999809265137,0.6449999809265137,0.6449999809265137,0.6449999809265137,,,0.4899999797344208,0.6449999809265137,0.3349999785423279,4.553903291922764,
FL-UK-1998-01,1998-08-11,1998-08-11T12:00:00,30.44999885559082,78.94999694824219,0.7400000095367432,0.3700000047683716,GPM_3IMERGHH_07,V07B,3B-HHR.MS.MRG.3IMERG.19980811-S120000-E122959.0720.V07B.HDF5,1998-08-11T12:00:00,2026-09-14T18:31:54.934900+00:00,DERIVED,debris-flow/flood event,False,DATE_ONLY,0.3700000047683716,0.614999994635582,1.0149999856948853,1.0149999856948853,1.0149999856948853,1.0149999856948853,,,0.7400000095367432,1.0149999856948853,0.2150000035762787,3.6333202242896365,
FL-UK-1998-01,1998-08-11,1998-08-11T16:00:00,30.44999885559082,78.94999694824219,0.0,0.0,GPM_3IMERGHH_07,V07B,3B-HHR.MS.MRG.3IMERG.19980811-S160000-E162959.0960.V07B.HDF5,1998-08-11T16:00:00,2026-09-14T18:31:54.934900+00:00,DERIVED,debris-flow/flood event,False,DATE_ONLY,0.0,0.3700000047683716,1.0149999856948853,1.0149999856948853,1.0149999856948853,1.0149999856948853,,,0.7400000095367432,1.0149999856948853,-0.1199999749660492,2.1859000195744196,
FL-UK-1998-01,1998-08-11,1998-08-11T20:00:00,30.44999885559082,78.94999694824219,3.5,1.75,GPM_3IMERGHH_07,V07B,3B-HHR.MS.MRG.3IMERG.19980811-S200000-E202959.1200.V07B.HDF5,1998-08-11T20:00:00,2026-09-14T18:31:54.934900+00:00,DERIVED,debris-flow/flood event,False,DATE_ONLY,1.75,1.75,2.7649999856948853,2.7649999856948853,2.7649999856948853,2.7649999856948853,,,3.5,2.7649999856948853,1.135000005364418,3.7966445090799232,
FL-UK-1998-01,1998-08-11,1998-08-11T00:00:00,30.44999885559082,79.04999542236328,0.8299999833106995,0.41499999165534973,GPM_3IMERGHH_07,V07B,3B-HHR.MS.MRG.3IMERG.19980811-S000000-E002959.0000.V07B.HDF5,1998-08-11T00:00:00,2026-09-14T18:31:54.934900+00:00,DERIVED,debris-flow/flood event,False,DATE_ONLY,0.41499999165534973,0.41499999165534973,0.41499999165534973,0.41499999165534973,0.41499999165534973,0.41499999165534973,,,0.8299999833106995,0.41499999165534973,,5.991337824657645,
FL-UK-1998-01,1998-08-11,1998-08-11T04:00:00,30.44999885559082,79.04999542236328,3.509999990463257,1.7549999952316284,GPM_3IMERGHH_07,V07B,3B-HHR.MS.MRG.3IMERG.19980811-S040000-E042959.0240.V07B.HDF5,1998-08-11T04:00:00,2026-09-14T18:31:54.934900+00:00,DERIVED,debris-flow/flood event,False,DATE_ONLY,1.7549999952316284,2.169999986886978,2.169999986886978,2.169999986886978,2.169999986886978,2.169999986886978,,,3.509999990463257,2.169999986886978,,5.998341472393924,
FL-UK-1998-01,1998-08-11,1998-08-11T08:00:00,30.44999885559082,79.04999542236328,0.9399999976158142,0.4699999988079071,GPM_3IMERGHH_07,V07B,3B-HHR.MS.MRG.3IMERG.19980811-S080000-E082959.0480.V07B.HDF5,1998-08-11T08:00:00,2026-09-14T18:31:54.934900+00:00,DERIVED,debris-flow/flood event,False,DATE_ONLY,0.4699999988079071,2.2249999940395355,2.6399999856948853,2.6399999856948853,2.6399999856948853,2.6399999856948853,,,3.509999990463257,2.6399999856948853,1.8100000023841858,5.055669179943627,
FL-UK-1998-01,1998-08-11,1998-08-11T12:00:00,30.44999885559082,79.04999542236328,0.5899999737739563,0.29499998688697815,GPM_3IMERGHH_07,V07B,3B-HHR.MS.MRG.3IMERG.19980811-S120000-E122959.0720.V07B.HDF5,1998-08-11T12:00:00,2026-09-14T18:31:54.934900+00:00,DERIVED,debris-flow/flood event,False,DATE_ONLY,0.29499998688697815,0.7649999856948853,2.9349999725818634,2.9349999725818634,2.9349999725818634,2.9349999725818634,,,3.509999990463257,2.9349999725818634,-1.405000001192093,1.5635645036923753,
FL-UK-1998-01,1998-08-11,1998-08-11T16:00:00,30.44999885559082,79.04999542236328,0.0,0.0,GPM_3IMERGHH_07,V07B,3B-HHR.MS.MRG.3IMERG.19980811-S160000-E162959.0960.V07B.HDF5,1998-08-11T16:00:00,2026-09-14T18:31:54.934900+00:00,DERIVED,debris-flow/flood event,False,DATE_ONLY,0.0,0.29499998688697815,2.9349999725818634,2.9349999725818634,2.9349999725818634,2.9349999725818634,,,3.509999990463257,2.9349999725818634,-1.9300000071525574,0.6029431590998252,
FL-UK-1998-01,1998-08-11,1998-08-11T20:00:00,30.44999885559082,79.04999542236328,2.5,1.25,GPM_3IMERGHH_07,V07B,3B-HHR.MS.MRG.3IMERG.19980811-S200000-E202959.1200.V07B.HDF5,1998-08-11T20:00:00,2026-09-14T18:31:54.934900+00:00,DERIVED,debris-flow/flood event,False,DATE_ONLY,1.25,1.25,4.184999972581863,4.184999972581863,4.184999972581863,4.184999972581863,,,3.509999990463257,4.184999972581863,0.48500001430511475,1.791857809902858,
FL-UK-1998-01,1998-08-11,1998-08-11T00:00:00,30.44999885559082,79.1500015258789,0.3999999761581421,0.19999998807907104,GPM_3IMERGHH_07,V07B,3B-HHR.MS.MRG.3IMERG.19980811-S000000-E002959.0000.V07B.HDF5,1998-08-11T00:00:00,2026-09-14T18:31:54.934900+00:00,DERIVED,debris-flow/flood event,False,DATE_ONLY,0.19999998807907104,0.19999998807907104,0.19999998807907104,0.19999998807907104,0.19999998807907104,0.19999998807907104,,,0.3999999761581421,0.19999998807907104,,5.9820538374180705,
FL-UK-1998-01,1998-08-11,1998-08-11T04:00:00,30.44999885559082,79.1500015258789,2.7200000286102295,1.3600000143051147,GPM_3IMERGHH_07,V07B,3B-HHR.MS.MRG.3IMERG.19980811-S040000-E042959.0240.V07B.HDF5,1998-08-11T04:00:00,2026-09-14T18:31:54.934900+00:00,DERIVED,debris-flow/flood event,False,DATE_ONLY,1.3600000143051147,1.5600000023841858,1.5600000023841858,1.5600000023841858,1.5600000023841858,1.5600000023841858,,,2.7200000286102295,1.5600000023841858,,5.997693194928553,
FL-UK-1998-01,1998-08-11,1998-08-11T08:00:00,30.44999885559082,79.1500015258789,1.090000033378601,0.5450000166893005,GPM_3IMERGHH_07,V07B,3B-HHR.MS.MRG.3IMERG.19980811-S080000-E082959.0480.V07B.HDF5,1998-08-11T08:00:00,2026-09-14T18:31:54.934900+00:00,DERIVED,debris-flow/flood event,False,DATE_ONLY,0.5450000166893005,1.9050000309944153,2.1050000190734863,2.1050000190734863,2.1050000190734863,2.1050000190734863,,,2.7200000286102295,2.1050000190734863,1.7050000429153442,5.428381498113759,
FL-UK-1998-01,1998-08-11,1998-08-11T12:00:00,30.44999885559082,79.1500015258789,0.699999988079071,0.3499999940395355,GPM_3IMERGHH_07,V07B,3B-HHR.MS.MRG.3IMERG.19980811-S120000-E122959.0720.V07B.HDF5,1998-08-11T12:00:00,2026-09-14T18:31:54.934900+00:00,DERIVED,debris-flow/flood event,False,DATE_ONLY,0.3499999940395355,0.8950000107288361,2.455000013113022,2.455000013113022,2.455000013113022,2.455000013113022,,,2.7200000286102295,2.455000013113022,-0.6649999916553497,2.1868382618085027,
FL-UK-1998-01,1998-08-11,1998-08-11T16:00:00,30.44999885559082,79.1500015258789,0.0,0.0,GPM_3IMERGHH_07,V07B,3B-HHR.MS.MRG.3IMERG.19980811-S160000-E162959.0960.V07B.HDF5,1998-08-11T16:00:00,2026-09-14T18:31:54.934900+00:00,DERIVED,debris-flow/flood event,False,DATE_ONLY,0.0,0.3499999940395355,2.455000013113022,2.455000013113022,2.455000013113022,2.455000013113022,,,2.7200000286102295,2.455000013113022,-1.5550000369548798,0.8551881222605933,
FL-UK-1998-01,1998-08-11,1998-08-11T20:00:00,30.44999885559082,79.1500015258789,2.0399999618530273,1.0199999809265137,GPM_3IMERGHH_07,V07B,3B-HHR.MS.MRG.3IMERG.19980811-S200000-E202959.1200.V07B.HDF5,1998-08-11T20:00:00,2026-09-14T18:31:54.934900+00:00,DERIVED,debris-flow/flood event,False,DATE_ONLY,1.0199999809265137,1.0199999809265137,3.4749999940395355,3.4749999940395355,3.4749999940395355,3.4749999940395355,,,2.7200000286102295,3.4749999940395355,0.12499997019767761,1.7608470180845173,
FL-UK-1998-01,1998-08-11,1998-08-11T00:00:00,30.549999237060547,78.94999694824219,0.0,0.0,GPM_3IMERGHH_07,V07B,3B-HHR.MS.MRG.3IMERG.19980811-S000000-E002959.0000.V07B.HDF5,1998-08-11T00:00:00,2026-09-14T18:31:54.934900+00:00,DERIVED,debris-flow/flood event,False,DATE_ONLY,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,
FL-UK-1998-01,1998-08-11,1998-08-11T04:00:00,30.549999237060547,78.94999694824219,0.4699999988079071,0.23499999940395355,GPM_3IMERGHH_07,V07B,3B-HHR.MS.MRG.3IMERG.19980811-S040000-E042959.0240.V07B.HDF5,1998-08-11T04:00:00,2026-09-14T18:31:54.934900+00:00,DERIVED,debris-flow/flood event,False,DATE_ONLY,0.23499999940395355,0.23499999940395355,0.23499999940395355,0.23499999940395355,0.23499999940395355,0.23499999940395355,,,0.4699999988079071,0.23499999940395355,,5.9847198641379125,
FL-UK-1998-01,1998-08-11,1998-08-11T08:00:00,30.549999237060547,78.94999694824219,0.0,0.0,GPM_3IMERGHH_07,V07B,3B-HHR.MS.MRG.3IMERG.19980811-S080000-E082959.0480.V07B.HDF5,1998-08-11T08:00:00,2026-09-14T18:31:54.934900+00:00,DERIVED,debris-flow/flood event,False,DATE_ONLY,0.0,0.23499999940395355,0.23499999940395355,0.23499999940395355,0.23499999940395355,0.23499999940395355,,,0.4699999988079071,0.23499999940395355,0.23499999940395355,5.9847198641379125,
FL-UK-1998-01,1998-08-11,1998-08-11T12:00:00,30.549999237060547,78.94999694824219,0.0,0.0,GPM_3IMERGHH_07,V07B,3B-HHR.MS.MRG.3IMERG.19980811-S120000-E122959.0720.V07B.HDF5,1998-08-11T12:00:00,2026-09-14T18:31:54.934900+00:00,DERIVED,debris-flow/flood event,False,DATE_ONLY,0.0,0.0,0.23499999940395355,0.23499999940395355,0.23499999940395355,0.23499999940395355,,,0.4699999988079071,0.23499999940395355,-0.23499999940395355,0.0,
FL-UK-1998-01,1998-08-11,1998-08-11T16:00:00,30.549999237060547,78.94999694824219,0.0,0.0,GPM_3IMERGHH_07,V07B,3B-HHR.MS.MRG.3IMERG.19980811-S160000-E162959.0960.V07B.HDF5,1998-08-11T16:00:00,2026-09-14T18:31:54.934900+00:00,DERIVED,debris-flow/flood event,False,DATE_ONLY,0.0,0.0,0.23499999940395355,0.23499999940395355,0.23499999940395355,0.23499999940395355,,,0.4699999988079071,0.23499999940395355,-0.23499999940395355,0.0,
FL-UK-1998-01,1998-08-11,1998-08-11T20:00:00,30.549999237060547,78.94999694824219,2.619999885559082,1.309999942779541,GPM_3IMERGHH_07,V07B,3B-HHR.MS.MRG.3IMERG.19980811-S200000-E202959.1200.V07B.HDF5,1998-08-11T20:00:00,2026-09-14T18:31:54.934900+00:00,DERIVED,debris-flow/flood event,False,DATE_ONLY,1.309999942779541,1.309999942779541,1.5449999421834946,1.5449999421834946,1.5449999421834946,1.5449999421834946,,,2.619999885559082,1.5449999421834946,1.309999942779541,5.085403694809471,
FL-UK-1998-01,1998-08-11,1998-08-11T00:00:00,30.549999237060547,79.04999542236328,0.5,0.25,GPM_3IMERGHH_07,V07B,3B-HHR.MS.MRG.3IMERG.19980811-S000000-E002959.0000.V07B.HDF5,1998-08-11T00:00:00,2026-09-14T18:31:54.934900+00:00,DERIVED,debris-flow/flood event,False,DATE_ONLY,0.25,0.25,0.25,0.25,0.25,0.25,,,0.5,0.25,,5.985634477254589,
FL-UK-1998-01,1998-08-11,1998-08-11T04:00:00,30.549999237060547,79.04999542236328,0.6599999666213989,0.32999998331069946,GPM_3IMERGHH_07,V07B,3B-HHR.MS.MRG.3IMERG.19980811-S040000-E042959.0240.V07B.HDF5,1998-08-11T04:00:00,2026-09-14T18:31:54.934900+00:00,DERIVED,debris-flow/flood event,False,DATE_ONLY,0.32999998331069946,0.5799999833106995,0.5799999833106995,0.5799999833106995,0.5799999833106995,0.5799999833106995,,,0.6599999666213989,0.5799999833106995,,5.993799517562036,
FL-UK-1998-01,1998-08-11,1998-08-11T08:00:00,30.549999237060547,79.04999542236328,0.0,0.0,GPM_3IMERGHH_07,V07B,3B-HHR.MS.MRG.3IMERG.19980811-S080000-E082959.0480.V07B.HDF5,1998-08-11T08:00:00,2026-09-14T18:31:54.934900+00:00,DERIVED,debris-flow/flood event,False,DATE_ONLY,0.0,0.32999998331069946,0.5799999833106995,0.5799999833106995,0.5799999833106995,0.5799999833106995,,,0.6599999666213989,0.5799999833106995,0.07999998331069946,3.4102651684105014,
FL-UK-1998-01,1998-08-11,1998-08-11T12:00:00,30.549999237060547,79.04999542236328,0.0,0.0,GPM_3IMERGHH_07,V07B,3B-HHR.MS.MRG.3IMERG.19980811-S120000-E122959.0720.V07B.HDF5,1998-08-11T12:00:00,2026-09-14T18:31:54.934900+00:00,DERIVED,debris-flow/flood event,False,DATE_ONLY,0.0,0.0,0.5799999833106995,0.5799999833106995,0.5799999833106995,0.5799999833106995,,,0.6599999666213989,0.5799999833106995,-0.5799999833106995,0.0,
FL-UK-1998-01,1998-08-11,1998-08-11T16:00:00,30.549999237060547,79.04999542236328,0.0,0.0,GPM_3IMERGHH_07,V07B,3B-HHR.MS.MRG.3IMERG.19980811-S160000-E162959.0960.V07B.HDF5,1998-08-11T16:00:00,2026-09-14T18:31:54.934900+00:00,DERIVED,debris-flow/flood event,False,DATE_ONLY,0.0,0.0,0.5799999833106995,0.5799999833106995,0.5799999833106995,0.5799999833106995,,,0.6599999666213989,0.5799999833106995,-0.32999998331069946,0.0,
FL-UK-1998-01,1998-08-11,1998-08-11T20:00:00,30.549999237060547,79.04999542236328,2.109999895095825,1.0549999475479126,GPM_3IMERGHH_07,V07B,3B-HHR.MS.MRG.3IMERG.19980811-S200000-E202959.1200.V07B.HDF5,1998-08-11T20:00:00,2026-09-14T18:31:54.934900+00:00,DERIVED,debris-flow/flood event,False,DATE_ONLY,1.0549999475479126,1.0549999475479126,1.634999930858612,1.634999930858612,1.634999930858612,1.634999930858612,,,2.109999895095825,1.634999930858612,1.0549999475479126,3.870139369573418,
FL-UK-1998-01,1998-08-11,1998-08-11T00:00:00,30.549999237060547,79.1500015258789,0.0,0.0,GPM_3IMERGHH_07,V07B,3B-HHR.MS.MRG.3IMERG.19980811-S000000-E002959.0000.V07B.HDF5,1998-08-11T00:00:00,2026-09-14T18:31:54.934900+00:00,DERIVED,debris-flow/flood event,False,DATE_ONLY,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,
FL-UK-1998-01,1998-08-11,1998-08-11T04:00:00,30.549999237060547,79.1500015258789,0.4099999964237213,0.20499999821186066,GPM_3IMERGHH_07,V07B,3B-HHR.MS.MRG.3IMERG.19980811-S040000-E042959.0240.V07B.HDF5,1998-08-11T04:00:00,2026-09-14T18:31:54.934900+00:00,DERIVED,debris-flow/flood event,False,DATE_ONLY,0.20499999821186066,0.20499999821186066,0.20499999821186066,0.20499999821186066,0.20499999821186066,0.20499999821186066,,,0.4099999964237213,0.20499999821186066,,5.982490272221256,
FL-UK-1998-01,1998-08-11,1998-08-11T08:00:00,30.549999237060547,79.1500015258789,0.0,0.0,GPM_3IMERGHH_07,V07B,3B-HHR.MS.MRG.3IMERG.19980811-S080000-E082959.0480.V07B.HDF5,1998-08-11T08:00:00,2026-09-14T18:31:54.934900+00:00,DERIVED,debris-flow/flood event,False,DATE_ONLY,0.0,0.20499999821186066,0.20499999821186066,0.20499999821186066,0.20499999821186066,0.20499999821186066,,,0.4099999964237213,0.20499999821186066,0.20499999821186066,5.982490272221256,
FL-UK-1998-01,1998-08-11,1998-08-11T12:00:00,30.549999237060547,79.1500015258789,0.0,0.0,GPM_3IMERGHH_07,V07B,3B-HHR.MS.MRG.3IMERG.19980811-S120000-E122959.0720.V07B.HDF5,1998-08-11T12:00:00,2026-09-14T18:31:54.934900+00:00,DERIVED,debris-flow/flood event,False,DATE_ONLY,0.0,0.0,0.20499999821186066,0.20499999821186066,0.20499999821186066,0.20499999821186066,,,0.4099999964237213,0.20499999821186066,-0.20499999821186066,0.0,
