Unnamed: 0,UEI,Start Date,End Date,Duration(Days),Main Cause,Location,Districts,State,Latitude,Longitude,Severity,Area Affected,Human fatality,Human injured,Human Displaced,Animal Fatality,Description of Casualties/injured,Extent of damage ,Event Source,Event Souce ID,District_LGD_Codes,State_Codes
6745,UEI-IMD-FL-2022-1099,19-08-2022 00:00,19-08-2022 00:00,1.0,Cloudburst,,"Dehradun, ",Uttarakhand,,,,,,3.0,5,,,,IMD,,"49, 603",5
6746,UEI-IMD-FL-2022-1100,19-08-2022 00:00,19-08-2022 00:00,1.0,Cloudburst,,Garhwal,Uttarakhand,,,,,2.0,,,,,,IMD,,52,5
6747,UEI-IMD-FL-2022-1101,19-08-2022 00:00,19-08-2022 00:00,1.0,Cloudburst,,Tehri Garhwal,Uttarakhand,,,,,5.0,,2,,,,IMD,,55,5
6748,UEI-IMD-FL-2022-1102,28-08-2022 00:00,28-08-2022 00:00,1.0,Heavy Rains,,Dehradun,Uttarakhand,,,,,3.0,,,,,,IMD,,49,5
6749,UEI-IMD-FL-2022-1103,22-09-2022 00:00,22-09-2022 00:00,1.0,Landslides triggered by Heavy Rains,,"Dehradun, ",Uttarakhand,,,,,,,,,,,IMD,,"49, 603",5
6750,UEI-IMD-FL-2022-1104,22-09-2022 00:00,22-09-2022 00:00,1.0,Landslides triggered by Heavy Rains,,Uttar Kashi Kashi,Uttarakhand,,,,,1.0,,,,,,IMD,,,5
7359,UEI-IMD-FL-2023-0574,25-06-2023 00:00,25-06-2023 00:00,1.0,Heavy rains,,Rudra Prayag,Uttarakhand,,,,,1.0,,,,,,IMD,,54,5
7360,UEI-IMD-FL-2023-0575,25-06-2023 00:00,25-06-2023 00:00,1.0,Heavy rains,,Uttar Kashi Kashi,Uttarakhand,,,,,1.0,3.0,,,,,IMD,,,5
7361,UEI-IMD-FL-2023-0576,09-07-2023 00:00,09-07-2023 00:00,1.0,Landslide,,Dehradun,Uttarakhand,,,,,3.0,,,,,,IMD,,49,5
7362,UEI-IMD-FL-2023-0577,09-07-2023 00:00,09-07-2023 00:00,1.0,Heavy rains,,Udam Singh Nagar,Uttarakhand,,,,,2.0,1.0,,,,,IMD,,56,5
7363,UEI-IMD-FL-2023-0578,10-07-2023 00:00,10-07-2023 00:00,1.0,Heavy rains,,Uttar Kashi Kashi,Uttarakhand,,,,,4.0,7.0,,,,,IMD,,,5
7364,UEI-IMD-FL-2023-0579,11-07-2023 00:00,11-07-2023 00:00,1.0,Heavy rains & Landslides,,Pithoragarh,Uttarakhand,,,,,5.0,,,,,,IMD,,53,5
7365,UEI-IMD-FL-2023-0580,11-07-2023 00:00,11-07-2023 00:00,1.0,Heavy rains & Landslides,,Rudra Prayag,Uttarakhand,,,,,3.0,,,,,,IMD,,54,5
7366,UEI-IMD-FL-2023-0581,16-07-2023 00:00,16-07-2023 00:00,1.0,Heavy rains & Floods,,Chamoli,Uttarakhand,,,,,5.0,,,,,,IMD,,47,5
7367,UEI-IMD-FL-2023-0582,16-07-2023 00:00,16-07-2023 00:00,1.0,Heavy rains & Floods,,Rudra Prayag,Uttarakhand,,,,,,,,,,,IMD,,54,5
7368,UEI-IMD-FL-2023-0583,17-07-2023 00:00,17-07-2023 00:00,1.0,Heavy Rains & Floods,,Rudra Prayag,Uttarakhand,,,,,,14.0,,,,,IMD,,54,5
7369,UEI-IMD-FL-2023-0584,04-08-2023 00:00,04-08-2023 00:00,1.0,Massive Landslide,,Rudra Prayag,Uttarakhand,,,,,10.0,,13,,,,IMD,,54,5
7370,UEI-IMD-FL-2023-0585,06-08-2023 00:00,06-08-2023 00:00,1.0,Heavy Rains,,Tehri Garhwal,Uttarakhand,,,,,2.0,1.0,,,,,IMD,,55,5
7371,UEI-IMD-FL-2023-0586,07-08-2023 00:00,07-08-2023 00:00,1.0,Landslide,,Rudra Prayag,Uttarakhand,,,,,3.0,,17,,,,IMD,,54,5
7372,UEI-IMD-FL-2023-0587,09-08-2023 00:00,09-08-2023 00:00,1.0,Landslides,,Rudra Prayag,Uttarakhand,,,,,7.0,3.0,1,,,,IMD,,54,5
7373,UEI-IMD-FL-2023-0588,10-08-2023 00:00,10-08-2023 00:00,1.0,Heavy Rains,,Garhwal,Uttarakhand,,,,,1.0,,,,,,IMD,,52,5
7374,UEI-IMD-FL-2023-0589,10-08-2023 00:00,10-08-2023 00:00,1.0,Landslide,,Rudra Prayag,Uttarakhand,,,,,5.0,,,,,,IMD,,54,5
7375,UEI-IMD-FL-2023-0590,14-08-2023 00:00,14-08-2023 00:00,1.0,Torrential rains & Landslides,,Dehradun,Uttarakhand,,,,,4.0,,9,,,,IMD,,49,5
7376,UEI-IMD-FL-2023-0591,14-08-2023 00:00,14-08-2023 00:00,1.0,Landslide,,Tehri Garhwal,Uttarakhand,,,,,4.0,,,,,,IMD,,55,5
7377,UEI-IMD-FL-2023-0592,15-08-2023 00:00,15-08-2023 00:00,1.0,Heavy Rains,,Chamoli,Uttarakhand,,,,,,3.0,4,,,,IMD,,47,5
7378,UEI-IMD-FL-2023-0593,21-08-2023 00:00,21-08-2023 00:00,1.0,Landslide,,Tehri Garhwal,Uttarakhand,,,,,5.0,,,,,,IMD,,55,5
7379,UEI-IMD-FL-2023-0594,23-08-2023 00:00,23-08-2023 00:00,1.0,Heavy Rains,,Garhwal,Uttarakhand,,,,,1.0,,,,,,IMD,,52,5
7418,UEI-IMD-FL-2023-0633,26-08-2023 00:00,26-08-2023 00:00,1.0,Heavy Rains & Floods,,Chamoli,Uttarakhand,,,,,2.0,,,,,,IMD,,47,5
