Unnamed: 0,UEI,Start Date,End Date,Duration(Days),Main Cause,Location,Districts,State,Latitude,Longitude,Severity,Area Affected,Human fatality,Human injured,Human Displaced,Animal Fatality,Description of Casualties/injured,Extent of damage ,Event Source,Event Souce ID,District_LGD_Codes,State_Codes
5131,UEI-IMD-FL-2019-0152,08-08-2019 00:00,08-09-2019 00:00,2.0,"Heavy rains, flash flood as a result of cloud burst",,"Chamoli, Garhwal, Rudra Prayag, Tehri Garhwal",Uttarakhand,,,,,5.0,5.0,,40.0,"Total 5 persons died. Chamoli �������� 2 including a woman & kid, Garhwal - One youth washed away in Alaknanda river, Tehri �������� 2. While, 5 persons severely injured in Tharthi village Tehri district. More than 40 livestock perished in Chamoli Dist.","i) Damage to agricultural land reported. ii) Damage to more than 230 houses, 50 shops, Twenty Four cowsheds reported. iii) Damage to 10 water mills, water supply lines reported. iv) Damage to more than two dozen local footbridges,about 60 connecting roads reported.",IMD,,"47, 52, 54, 55",5
5132,UEI-IMD-FL-2019-0153,08-12-2019 00:00,08-12-2019 00:00,1.0,"Heavy rains, flash floods & Landslide",,"Bageshwar, Chamoli",Uttarakhand,,,,,6.0,,,,6 persons died in Ghat block of Chamoli district.,"i) Damage to farmlands reported. ii) Damage to drinking water pipelines reported. iii) Damage to Several houses, cowsheds, shops reported. iv) Landslide occurred at Aali, Lankhi & Banjba Gad villages from Chamoli Dist. reported. v) Parts of Katyur valley of Bageshwar Dist. affected.",IMD,,"46, 47",5
5133,UEI-IMD-FL-2019-0154,18-08-2019 00:00,18-08-2019 00:00,1.0,"Heavy rains & flash floods (in Tons, Pabbar River) & Landslide",,"Dehradun, Garhwal, Tehri Garhwal, Uttar Kashi Kashi",Uttarakhand,,,,,19.0,,,60.0,"Total 19 persons died. Dehradun �������� one 42 year old woman swept away in Maldevta area, Tehri Garhwal �������� one woman died due to tree uprooted, Uttarakashi - 17 persons died, several others missing & many people were injured, about 60 livestock perished from Mori Block.","i) Extensive damage to agricultural lands reported. ii) Extensive damage to bridges, a primary school reported. iii) Damage to Several houses, cowsheds, shops reported. iv) Several vehicles washed away. v) A helipad submerged in floodwater,national highways were blocked. vi) Damage to around half a dozen villages viz. Makudi, Arakot, Sanel, Tikochi, Khakwadi, Chinwa, Gokul from Uttarkashi Dist. (which is the worst affected district) due to landslide reported. vii) The Mason village in Chauthan Patti area of Thailisain block in Garhwal, Dist. also affected. viii) Several trees uprooted.",IMD,,"49, 52, 55, None",5
5134,UEI-IMD-FL-2019-0155,09-02-2019 00:00,09-02-2019 00:00,1.0,Cloud Burst,,Almora,Uttarakhand,,,,,,,,,Few persons injured due to house collapsed.,Damage to house reported in Jajar village in Dhauladevi Block.,IMD,,45,5
5135,UEI-IMD-FL-2019-0156,09-06-2019 00:00,09-08-2019 00:00,3.0,Heavy rains & flash flood as a result of cloud burst,,"Chamoli, Pithoragarh",Uttarakhand,,,,,1.0,3.0,,6.0,One person died & 3 others injured & about half a dozen livestock perished from Timtia village of Nachni area in Munsyari tehsil of Pithoragarh Dist. on 7th early morning. Several persons injured from Gundam village of Tharali Tehsil in Chamoli district.,"i) Damage to several acres of farmland reported. ii) Damage to a portion of inter college reported. iii) Damage to several houses, cowsheds reported. iv) Damage to several roads including 60-meter stretch of Thal-Munsyari highway, 30 meters stretch of Badrinath highway reported due to which thousands of pilgrims stranded at different locations. v) More than 40 vehicles washed away. vi) 2 water mills were washed away. vii) The electricity,communication services disrupted.",IMD,,"47, 53",5
5136,UEI-IMD-FL-2019-0157,27-09-2019 00:00,27-09-2019 00:00,1.0,Heavy rains & flash flood,,Dehradun,Uttarakhand,,,,,,,,,,Damage to about 15 houses in Clement town reported.,IMD,,49,5
5295,UEI-IMD-FL-2020-0139,18-07-2020 00:00,19-07-2020 00:00,2.0,Heavy Rains & Cloud Burst,,Pithoragarh,Uttarakhand,,,,,3.0,,8.0,,3 persons died in Madkot & 8 others missing from a neighbouring village.,"i) Damage to a bridge on Gori river in the hill town of Munsiyari reported. ii) 4 houses completely damaged. iii) Damage to main roads connecting district headquarters to Bangapani, Munsiyari,Dharchula areas reported. iv) Damage to water pipelines reported.",IMD,,53,5
5296,UEI-IMD-FL-2020-0140,25-08-2020 00:00,25-08-2020 00:00,1.0,Heavy Rains & Cloud Burst,,Chamoli,Uttarakhand,,,,,1.0,3.0,,,One junior Engineer died & other 3 severely injured in Pokhari area of Thali Ansari village due to wall collapsed.,i) Extensive damage to Panchayat Ghar reported. ii) The Rishikesh-Gangotri National Highway in Uttarakhand is blocked near Narendra Nagar,IMD,,47,5
6745,UEI-IMD-FL-2022-1099,19-08-2022 00:00,19-08-2022 00:00,1.0,Cloudburst,,"Dehradun, ",Uttarakhand,,,,,,3.0,5.0,,,,IMD,,"49, 603",5
6746,UEI-IMD-FL-2022-1100,19-08-2022 00:00,19-08-2022 00:00,1.0,Cloudburst,,Garhwal,Uttarakhand,,,,,2.0,,,,,,IMD,,52,5
6747,UEI-IMD-FL-2022-1101,19-08-2022 00:00,19-08-2022 00:00,1.0,Cloudburst,,Tehri Garhwal,Uttarakhand,,,,,5.0,,2.0,,,,IMD,,55,5
