station_id,station_name,station_type,latitude,longitude,observation_time,acquisition_time,temperature_c,temperature_min_c,temperature_max_c,relative_humidity_pct,wind_speed_kmh,wind_speed_ms,wind_direction_deg,pressure_hpa,dewpoint_c,rainfall_mm,rainfall_accum_period,data_source,status
UTMDT000,MALDEVTA,AWS,30.3429,78.119,2026-09-01T06:59:04+00:00,2026-09-01T07:07:58.815949+00:00,,13.8,23.6,100.0,9.26,2.57,318.0,1004.1,0.0,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),LIVE
42112,MASSOURI,AWS,30.48,78.05,2026-09-01T06:59:04+00:00,2026-09-01T07:07:58.815949+00:00,22.2,20.4,25.7,9.0,11.11,3.09,,,0.0,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),LIVE
UTALA000,MATELA_KVK,AWS,29.6264,79.6309,2026-09-01T06:59:04+00:00,2026-09-01T07:07:58.815949+00:00,21.4,21.1,29.5,100.0,1.85,0.51,212.0,,0.0,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),LIVE
55DFD01A,MAWANA,AWS,29.11,77.93,2026-08-31T13:29:04+00:00,2026-09-01T07:07:58.815949+00:00,,,,,9.63,2.68,,,0.0,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),RECENT
UTMOM000,MOHAKAMPUR,AWS,30.2782,78.0744,2026-09-01T06:59:04+00:00,2026-09-01T07:07:58.815949+00:00,25.5,23.4,32.0,98.0,3.7,1.03,183.0,1005.7,0.0,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),LIVE
468001C0,MORI,AWS,31.0214,78.0469,2026-03-13T04:08:17+00:00,2026-09-01T07:07:58.815949+00:00,8.1,19.0,19.7,36.0,9.63,2.68,42.0,976.0,19.3,0.5,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
4681EE1A,MUKHIM,AWS,30.5768,78.471,2026-03-13T04:08:18+00:00,2026-09-01T07:07:58.815949+00:00,10.0,19.0,19.3,30.0,10.19,2.83,35.0,,19.3,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
42147,MUKTESHWAR,AWS,29.4667,79.65,2026-09-01T06:59:04+00:00,2026-09-01T07:07:58.815949+00:00,,39.0,39.2,,9.26,2.57,95.0,,0.0,2.0,recent_observation,IMD GeoServer (imd:aws_data_layer),LIVE
4680C4DE,MUSSOORIE(UKG),AWS,30.4567,78.0647,2026-03-13T04:08:17+00:00,2026-09-01T07:07:58.815949+00:00,15.1,17.2,18.1,29.0,7.41,2.06,39.0,,17.5,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
42187,Moradabad,SYNOP,28.83,78.75,2026-09-01T03:40:13+00:00,2026-09-01T07:07:58.815949+00:00,27.6,26.5,31.0,95.0,3.7,1.03,90.0,1005.0,26.8,5.4,24h,IMD GeoServer (imd:synop_data_layer),RECENT
42147,Mukteshwar,SYNOP,29.47,79.65,2026-09-01T06:24:03+00:00,2026-09-01T07:07:58.815949+00:00,16.4,,,98.0,0.0,0.0,0.0,,16.1,41.0,24h,IMD GeoServer (imd:synop_data_layer),LIVE
468094A2,NAGTHAT,AWS,30.3812,78.0236,2026-03-13T04:08:17+00:00,2026-09-01T07:07:58.815949+00:00,17.6,21.6,22.0,28.0,12.22,3.4,40.0,,5.2,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
4681C8F6,NAINBAGH,AWS,30.5661,78.0079,2026-03-13T04:08:18+00:00,2026-09-01T07:07:58.815949+00:00,12.7,22.2,22.6,36.0,11.3,3.14,37.0,,17.1,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
46814EE2,NAINIDANDA,AWS,29.7385,79.0134,2026-03-13T04:08:18+00:00,2026-09-01T07:07:58.815949+00:00,14.9,24.7,26.0,13.0,13.52,3.76,25.0,,11.3,0.0,recent_observation,IMD GeoServer (imd:aws_data_layer),STALE
